# 2026-07-24T10:51:41Z load: 3.18 4.02 6.04 2/361 3200314
label	arm	block	depth	batch	extra	samples	p50us	p99us	p999us	reads_s	mbps
server3	hot	4096	1	0	0	530794	2.5	13.8	96.3	265397	1087
server3	hot	4096	2	0	0	1141379	2.7	5.2	58.6	570690	2338
server3	hot	4096	4	0	0	1711255	3.3	9.6	86.1	855628	3505
server3	hot	4096	8	0	0	1807967	3.7	24.6	340.9	903984	3703
server3	hot	4096	16	0	0	1847061	3.8	22.3	3054.5	923530	3783
server3	hot	4096	32	0	0	1806580	3.8	22.6	9489.2	903290	3700
server3	depth	4096	1	0	0	1177	1191.6	7472.1	15409.1	588	2
server3	depth	4096	2	0	0	2520	1133.5	7900.6	16488.9	1260	5
server3	depth	4096	4	0	0	6264	1020.2	5404.8	11412.1	3132	13
server3	depth	4096	8	0	0	12876	1036.1	4876.7	9717.7	6438	26
server3	depth	4096	16	0	0	22741	1172.8	5544.5	11721.2	11370	47
server3	depth	4096	32	0	0	40975	1361.1	5180.1	11108.2	20488	84
server3	depth	4096	64	0	0	40859	2284.5	14104.5	25527.3	20430	84
server3	depth	16384	1	0	0	1811	963.8	3840.7	6306.6	906	15
server3	depth	16384	2	0	0	3351	961.3	5694.3	10232.2	1676	27
server3	depth	16384	4	0	0	6163	1018.2	6518.9	11170.0	3082	50
server3	depth	16384	8	0	0	10780	1078.7	7530.8	17412.9	5390	88
server3	depth	16384	16	0	0	20288	1300.9	6364.1	12300.6	10144	166
server3	depth	16384	32	0	0	22751	2077.7	12263.3	33931.6	11376	186
server3	depth	16384	64	0	0	39732	2359.8	15622.5	31435.1	19866	325
server3	depth	65536	1	0	0	1239	1178.4	8386.0	16793.9	620	41
server3	depth	65536	2	0	0	2412	1222.2	8016.1	13782.3	1206	79
server3	depth	65536	4	0	0	4811	1249.0	7933.0	13039.2	2406	158
server3	depth	65536	8	0	0	9375	1369.0	6744.2	20272.0	4688	307
server3	depth	65536	16	0	0	15000	1638.7	8969.5	21796.9	7500	492
server3	depth	65536	32	0	0	18459	2330.2	19141.6	59826.3	9230	605
server3	depth	65536	64	0	0	26773	3198.4	32681.1	47574.0	13386	877
server3	batch	16384	8	8	0	524	2738.1	11068.1	18794.7	2096	34
server3	batch	16384	8	32	0	287	5961.4	22248.1	30129.7	4592	75
server3	batch	16384	16	32	0	298	5556.2	21383.3	35603.9	4768	78
server3	batch	16384	32	32	0	348	4581.6	24266.7	38308.3	5568	91
server3	batch	16384	8	128	0	113	16814.9	38250.5	39469.9	7232	118
server3	batch	16384	16	128	0	122	14928.7	36267.0	38483.8	7808	128
server3	batch	16384	32	128	0	138	12484.5	35389.0	39299.6	8832	145
server3	waste	16384	32	32	0	403	4296.6	14548.9	25047.8	6448	106
server3	waste	16384	32	32	16	231	6811.5	29764.8	35423.8	5544	91
server3	waste	16384	32	32	32	250	6659.9	25179.2	34953.2	8000	131
server3	waste	16384	32	32	64	167	8201.4	48363.8	50859.3	8016	131
