# 2026-07-24T10:15:36Z load: 9.24 15.37 14.12 16/420 3187166
label	arm	block	depth	batch	extra	samples	p50us	p99us	p999us	reads_s	mbps
server3	hot	4096	1	0	0	494578	2.5	5.7	67.3	247289	1013
server3	hot	4096	2	0	0	749758	2.7	14.9	167.9	374879	1536
server3	hot	4096	4	0	0	1003268	3.0	16.0	273.5	501634	2055
server3	hot	4096	8	0	0	1058721	3.2	23.4	1272.3	529360	2168
server3	hot	4096	16	0	0	1249694	3.1	18.4	3658.1	624847	2559
server3	hot	4096	32	0	0	1250584	3.2	19.0	11681.8	625292	2561
server3	depth	4096	1	0	0	687	1964.7	17227.1	50478.0	344	1
server3	depth	4096	2	0	0	1409	1809.9	17006.1	32708.0	704	3
server3	depth	4096	4	0	0	2967	1641.5	19924.1	26304.0	1484	6
server3	depth	4096	8	0	0	5470	1650.0	24461.9	34230.0	2735	11
server3	depth	4096	16	0	0	9328	1913.0	27909.3	40074.7	4664	19
server3	depth	4096	32	0	0	20194	1962.3	25795.6	34184.8	10097	41
server3	depth	4096	64	0	0	26357	3031.3	30626.3	47859.1	13178	54
server3	depth	16384	1	0	0	834	1557.1	13791.3	22070.9	417	7
server3	depth	16384	2	0	0	1744	1343.2	20032.5	49441.1	872	14
server3	depth	16384	4	0	0	3615	1299.5	23461.1	46479.7	1808	30
server3	depth	16384	8	0	0	6431	1695.5	15617.5	28415.2	3216	53
server3	depth	16384	16	0	0	11849	1843.3	17262.6	28308.9	5924	97
server3	depth	16384	32	0	0	16772	2465.4	23672.3	41567.3	8386	137
server3	depth	16384	64	0	0	27333	3068.9	30317.4	37681.6	13666	224
server3	depth	65536	1	0	0	687	1823.5	29205.0	34558.0	344	23
server3	depth	65536	2	0	0	1657	1643.6	17509.7	47340.1	828	54
server3	depth	65536	4	0	0	3146	1696.9	19885.6	23264.7	1573	103
server3	depth	65536	8	0	0	5017	1981.8	20816.0	34683.1	2508	164
server3	depth	65536	16	0	0	8931	2222.7	27214.8	34082.2	4466	293
server3	depth	65536	32	0	0	11809	3417.3	30538.0	56351.2	5904	387
server3	depth	65536	64	0	0	16368	5011.1	42826.1	61541.1	8184	536
server3	batch	16384	8	8	0	343	3549.0	31865.7	49148.4	1372	22
server3	batch	16384	8	32	0	21	96343.1	242371.7	242371.7	336	6
server3	batch	16384	16	32	0	48	19584.8	277446.4	277446.4	768	13
server3	batch	16384	32	32	0	89	14992.6	106445.4	106445.4	1424	23
server3	batch	16384	8	128	0	20	68792.5	494960.1	494960.1	1280	21
server3	batch	16384	16	128	0	59	25881.6	112009.1	112009.1	3776	62
server3	batch	16384	32	128	0	85	18493.8	57302.1	57302.1	5440	89
server3	waste	16384	32	32	0	219	6363.7	42124.8	61652.3	3504	57
server3	waste	16384	32	32	16	212	5540.2	38349.5	71922.3	5088	83
server3	waste	16384	32	32	32	160	7921.9	50094.8	58557.1	5120	84
server3	waste	16384	32	32	64	119	11694.9	44212.5	52149.2	5712	94
