# 2026-07-24T10:17:27Z load: 17.63 15.97 14.44 9/435 3187384
label	arm	workers	antag	samples	p50us	p99us	p999us	reads_s	mbps	majflt
server3	pread	4	none	3846	1250.8	17590.1	27885.4	1923	32	1
server3	pread	16	none	16723	1342.8	13773.5	23811.5	8362	137	0
server3	pread	64	none	37180	2202.9	26743.4	66124.5	18590	305	0
server3	mmap	4	none	3462	1752.9	11008.2	84535.3	1731	28	3098
server3	mmap	16	none	9315	1432.7	45134.1	72046.3	4658	76	5124
server3	mmap	64	none	15698	3.0	190864.8	264110.4	7849	129	5573
server3	pread	4	scan	10548	9.6	6611.4	18391.5	5274	86	0
server3	pread	16	scan	26730	700.1	8141.7	15622.4	13365	219	0
server3	pread	64	scan	55448	1291.4	24171.2	36110.4	27724	454	0
server3	mmap	4	scan	8987	2.9	5569.2	16346.7	4494	74	2845
server3	mmap	16	scan	21073	2.8	28829.7	45895.8	10536	173	5192
server3	mmap	64	scan	31603	2.8	157499.3	269310.4	15802	259	5048
server3	pread	4	hog	16730	32.2	4141.7	9982.8	8365	137	0
server3	pread	16	hog	43355	36.9	5338.3	12526.4	21678	355	0
server3	pread	64	hog	83663	788.9	14390.2	27158.4	41832	685	0
server3	mmap	4	hog	15526	7.7	3997.3	7422.6	7763	127	4112
server3	mmap	16	hog	35218	2.9	22412.3	44724.2	17609	289	6886
server3	mmap	64	hog	52100	2.7	118092.7	227507.8	26050	427	6692
