label	arm	knob	class	qterms	queries	l1kb_p50	l1kb_p99	preads_p50	preads_p99	blocks_p50	blocks_p99	nvme_mb_p99
sim	l1only	0	rand	2	400	116.8	717.4	2	2	2365	48976	65.92
sim	l1l2	0	rand	2	400	111.8	730.3	3	37	2365	48976	65.93
sim	l1l2	1000	rand	2	400	109.4	717.4	2	36	2365	48976	65.92
sim	l1l2	10000	rand	2	400	109.4	717.4	2	36	2365	48976	65.92
sim	l1only	0	rand	3	400	239.6	899.2	3	3	2200	61387	82.63
sim	l1l2	0	rand	3	400	181.5	919.3	5	54	2200	61387	82.65
sim	l1l2	1000	rand	3	400	177.2	899.2	3	52	2200	61387	82.63
sim	l1l2	10000	rand	3	400	177.2	899.2	3	52	2200	61387	82.63
sim	l1only	0	rand	4	400	390.0	960.9	4	4	1902	63438	85.39
sim	l1l2	0	rand	4	400	260.7	982.1	7	70	1902	63438	85.41
sim	l1l2	1000	rand	4	400	251.5	960.9	5	68	1902	63438	85.39
sim	l1l2	10000	rand	4	400	251.5	960.9	4	68	1902	63438	85.39
sim	l1only	0	stop	3	400	132.4	660.7	3	3	9038	45090	60.69
sim	l1l2	0	stop	3	400	135.1	676.4	5	5	9038	45090	60.71
sim	l1l2	1000	stop	3	400	132.4	660.7	3	3	9038	45090	60.69
sim	l1l2	10000	stop	3	400	132.4	660.7	3	3	9038	45090	60.69
