label	docs	arm	survive	class	qterms	queries	l1kb_p50	l1kb_p99	preads_p50	preads_p99	blocks_p50	blocks_p99	nvme_mb_p99
sim	10000000	l1only	1	rand	2	400	120.0	720.0	2	2	2372	48976	65.92
sim	10000000	l1l2	1	rand	2	400	120.0	720.0	2	35	2372	48976	65.92
sim	10000000	hybrid	1	rand	2	400	120.0	720.0	2	35	2372	48976	65.92
sim	10000000	l1only	0.1	rand	2	400	120.0	720.0	2	2	367	17429	23.94
sim	10000000	l1l2	0.1	rand	2	400	120.0	720.0	2	36	367	17429	23.94
sim	10000000	hybrid	0.1	rand	2	400	120.0	720.0	2	36	367	17429	23.94
sim	10000000	l1only	0.01	rand	2	400	120.0	720.0	2	2	118	14186	19.62
sim	10000000	l1l2	0.01	rand	2	400	112.0	720.0	2	46	118	14186	19.62
sim	10000000	hybrid	0.01	rand	2	400	112.0	720.0	2	46	118	14186	19.62
sim	10000000	l1only	1	rand	3	400	244.0	904.0	3	3	2197	61387	82.63
sim	10000000	l1l2	1	rand	3	400	216.0	904.0	3	52	2197	61387	82.63
sim	10000000	hybrid	1	rand	3	400	212.0	904.0	3	51	2197	61387	82.63
sim	10000000	l1only	0.1	rand	3	400	244.0	904.0	3	3	251	14400	20.12
sim	10000000	l1l2	0.1	rand	3	400	216.0	904.0	3	52	251	14400	20.12
sim	10000000	hybrid	0.1	rand	3	400	212.0	904.0	3	52	251	14400	20.12
sim	10000000	l1only	0.01	rand	3	400	244.0	904.0	3	3	49	9483	13.58
sim	10000000	l1l2	0.01	rand	3	400	172.0	904.0	3	54	49	9483	13.58
sim	10000000	hybrid	0.01	rand	3	400	168.0	904.0	3	54	49	9483	13.58
sim	10000000	l1only	1	rand	4	400	396.0	968.0	4	4	1952	63439	85.40
sim	10000000	l1l2	1	rand	4	400	324.0	968.0	5	72	1952	63439	85.40
sim	10000000	hybrid	1	rand	4	400	324.0	968.0	4	72	1952	63439	85.40
sim	10000000	l1only	0.1	rand	4	400	396.0	968.0	4	4	207	8260	11.87
sim	10000000	l1l2	0.1	rand	4	400	324.0	968.0	5	74	207	8260	11.87
sim	10000000	hybrid	0.1	rand	4	400	324.0	968.0	4	74	207	8260	11.87
