# 2026-07-24T11:07:42Z load: 1.77 3.71 6.42 2/378 3207834
label	budget_ms	workers	class	queries	p50us	p99us	p999us	p100us	deg_pct	dterms_pct	dk_pct	dblocks_pct
server3	6	8	head	2000	9400	29001	34535	38795	100.00	0.00	100.00	99.70
server3	6	8	torso	2000	8151	33918	40965	41486	98.55	0.00	98.55	65.25
server3	6	8	tail	2000	7563	28319	34937	61879	71.70	0.00	71.70	0.05
server3	6	8	stop	2000	8228	31157	39980	45063	100.00	0.00	100.00	100.00
server3	6	8	mix	2000	6997	34231	50003	64984	77.95	0.00	77.95	53.10
server3	8	8	head	2000	12755	45367	84594	89958	100.00	0.00	100.00	99.70
server3	8	8	torso	2000	11046	38185	132865	132951	93.80	0.00	93.80	65.30
server3	8	8	tail	2000	9073	22532	32571	33032	64.60	0.00	64.60	0.05
server3	8	8	stop	2000	18010	39265	52388	68545	100.00	0.00	98.20	100.00
server3	8	8	mix	2000	11015	42692	59261	59370	77.20	0.00	75.30	54.70
server3	10	8	head	2000	21787	36905	45186	52862	100.00	0.00	100.00	99.65
server3	10	8	torso	2000	23096	37863	43843	44501	87.80	0.00	87.80	73.55
server3	10	8	tail	2000	14014	35251	45258	45767	67.50	0.00	67.50	0.00
server3	10	8	stop	2000	23030	38185	57180	57464	100.00	0.00	96.75	100.00
server3	10	8	mix	2000	14084	52227	72508	73063	78.70	0.00	76.45	56.60
server3	12	8	head	2000	25183	46674	76655	85784	100.00	0.00	100.00	99.70
server3	12	8	torso	2000	24217	39819	44892	47466	87.85	0.00	87.85	76.90
server3	12	8	tail	2000	17117	40214	77416	90268	68.75	0.00	68.75	0.00
server3	12	8	stop	2000	23383	51484	91102	96031	100.00	0.00	96.15	100.00
server3	12	8	mix	2000	15623	41611	50382	55087	78.90	0.00	76.95	55.75
