# 2026-07-24T10:18:48Z load: 15.58 15.81 14.52 3/402 3187595
label	budget_ms	workers	class	queries	p50us	p99us	p999us	p100us	deg_pct	dterms_pct	dk_pct	dblocks_pct
server3	6	8	head	2000	11448	36279	55006	58952	100.00	0.05	100.00	99.95
server3	6	8	torso	2000	9079	28021	35682	36081	99.60	0.00	99.60	71.45
server3	6	8	tail	2000	8231	25081	32846	34502	82.55	0.00	82.55	0.00
server3	6	8	stop	2000	11090	71493	136985	148865	100.00	0.05	100.00	100.00
server3	6	8	mix	2000	7578	29250	45366	46467	83.15	0.00	83.15	55.30
server3	8	8	head	2000	12399	56704	125358	126165	100.00	0.00	100.00	99.50
server3	8	8	torso	2000	11101	45798	59922	61644	93.45	0.00	93.45	61.10
server3	8	8	tail	2000	9449	39187	68366	71799	64.85	0.00	64.85	0.05
server3	8	8	stop	2000	10961	45180	57996	66792	100.00	0.00	99.40	100.00
server3	8	8	mix	2000	9582	45187	79036	81521	77.55	0.00	77.50	52.45
server3	10	8	head	2000	15086	38327	70932	71539	100.00	0.00	100.00	99.65
server3	10	8	torso	2000	12852	39395	70867	71221	87.40	0.00	87.40	54.85
server3	10	8	tail	2000	10893	37511	45814	51521	57.45	0.00	57.45	0.05
server3	10	8	stop	2000	21195	49564	85879	87640	100.00	0.00	95.10	100.00
server3	10	8	mix	2000	13606	38412	49076	60255	75.05	0.00	71.90	54.75
server3	12	8	head	2000	25503	62191	88087	91202	100.00	0.00	100.00	99.80
server3	12	8	torso	2000	22245	44438	49679	49779	94.25	0.05	94.25	70.45
server3	12	8	tail	2000	15748	98954	123067	124278	67.05	0.00	67.05	0.00
server3	12	8	stop	2000	19493	59411	82539	84090	100.00	0.00	96.60	100.00
server3	12	8	mix	2000	14990	102237	195245	196865	80.55	0.00	78.20	54.15
